Chem;Conc;Yield
BSA;0;99,98203
BSA;0,01;100
BSA;0,1;80,27438
BSA;1;88,17158
BSA;10;0,287563
BSA;0;84,4966
BSA;0,01;98,22121
BSA;0,1;100
BSA;1;95,08092
BSA;10;0,269942
BSA;0;61,07704
BSA;0,01;69,83557
BSA;0,1;72,09566
BSA;1;100
BSA;10;9,530507
BSA;0;69,74414
BSA;0,01;91,16939
BSA;0,1;100
BSA;1;95,81863
BSA;10;31,43634
BSA;0;67,94032
BSA;0,01;90,29879
BSA;0,1;100
BSA;1;58,31848
BSA;10;2,33135
Glycerol;0;100
Glycerol;2;65,46848
Glycerol;4;27,87272
Glycerol;8;34,22216
Glycerol;16;3,786081
Glycerol;0;100
Glycerol;2;66,51398
Glycerol;4;24,90401
Glycerol;8;9,067017
Glycerol;16;1,300099
Glycerol;0;100
Glycerol;2;86,23688
Glycerol;4;39,92259
Glycerol;8;17,79254
Glycerol;16;2,37813
DTT;0;32,81749
DTT;12,5;47,95338
DTT;25;56,63099
DTT;50;78,5272
DTT;100;100
DTT;0;50,75014
DTT;12,5;60,82918
DTT;25;68,58182
DTT;50;86,0442
DTT;100;100
DTT;0;32,7086
DTT;12,5;48,0317
DTT;25;82,4309
DTT;50;100
DTT;100;91,9821